,Time to First Fixation_ADS1_ADS1_N,Time to First Fixation_ADS1_ADS1_Mean,Time to First Fixation_ADS1_ADS1_Sum,Time to First Fixation_ADS1_ADS1_N,Time to First Fixation_ADS1_ADS1_Mean,Time to First Fixation_ADS1_ADS1_Sum,Time to First Fixation_ADS1_ADS1_N,Time to First Fixation_ADS1_ADS1_Mean,Time to First Fixation_ADS1_ADS1_Sum,Time to First Fixation_ADS1_ADS1_N,Time to First Fixation_ADS1_ADS1_Mean,Time to First Fixation_ADS1_ADS1_Sum,Time to First Fixation_ADS2_ADS2_N,Time to First Fixation_ADS2_ADS2_Mean,Time to First Fixation_ADS2_ADS2_Sum,Time to First Fixation_ADS2_ADS2_N,Time to First Fixation_ADS2_ADS2_Mean,Time to First Fixation_ADS2_ADS2_Sum,Time to First Fixation_ADS2_ADS2_N,Time to First Fixation_ADS2_ADS2_Mean,Time to First Fixation_ADS2_ADS2_Sum,Time to First Fixation_ADS2_ADS2_N,Time to First Fixation_ADS2_ADS2_Mean,Time to First Fixation_ADS2_ADS2_Sum,Time to First Fixation_ADS3_ADS3_N,Time to First Fixation_ADS3_ADS3_Mean,Time to First Fixation_ADS3_ADS3_Sum,Time to First Fixation_ADS3_ADS3_N,Time to First Fixation_ADS3_ADS3_Mean,Time to First Fixation_ADS3_ADS3_Sum,Time to First Fixation_ADS3_ADS3_N,Time to First Fixation_ADS3_ADS3_Mean,Time to First Fixation_ADS3_ADS3_Sum,Time to First Fixation_ADS3_ADS3_N,Time to First Fixation_ADS3_ADS3_Mean,Time to First Fixation_ADS3_ADS3_Sum,Time to First Fixation_ADS4_ADS4_N,Time to First Fixation_ADS4_ADS4_Mean,Time to First Fixation_ADS4_ADS4_Sum,Time to First Fixation_ADS4_ADS4_N,Time to First Fixation_ADS4_ADS4_Mean,Time to First Fixation_ADS4_ADS4_Sum,Time to First Fixation_ADS4_ADS4_N,Time to First Fixation_ADS4_ADS4_Mean,Time to First Fixation_ADS4_ADS4_Sum,Time to First Fixation_ADS4_ADS4_N,Time to First Fixation_ADS4_ADS4_Mean,Time to First Fixation_ADS4_ADS4_Sum,Time to First Fixation_ADS5_ADS5_N,Time to First Fixation_ADS5_ADS5_Mean,Time to First Fixation_ADS5_ADS5_Sum,Time to First Fixation_ADS5_ADS5_N,Time to First Fixation_ADS5_ADS5_Mean,Time to First Fixation_ADS5_ADS5_Sum,Time to First Fixation_ADS5_ADS5_N,Time to First Fixation_ADS5_ADS5_Mean,Time to First Fixation_ADS5_ADS5_Sum,Time to First Fixation_ADS5_ADS5_N,Time to First Fixation_ADS5_ADS5_Mean,Time to First Fixation_ADS5_ADS5_Sum,Time to First Fixation_ADS6_ADS6_N,Time to First Fixation_ADS6_ADS6_Mean,Time to First Fixation_ADS6_ADS6_Sum,Time to First Fixation_ADS6_ADS6_N,Time to First Fixation_ADS6_ADS6_Mean,Time to First Fixation_ADS6_ADS6_Sum,Time to First Fixation_ADS6_ADS6_N,Time to First Fixation_ADS6_ADS6_Mean,Time to First Fixation_ADS6_ADS6_Sum,Time to First Fixation_ADS6_ADS6_N,Time to First Fixation_ADS6_ADS6_Mean,Time to First Fixation_ADS6_ADS6_Sum,Time to First Fixation_ADS7_ADS7_N,Time to First Fixation_ADS7_ADS7_Mean,Time to First Fixation_ADS7_ADS7_Sum,Time to First Fixation_ADS7_ADS7_N,Time to First Fixation_ADS7_ADS7_Mean,Time to First Fixation_ADS7_ADS7_Sum,Time to First Fixation_ADS7_ADS7_N,Time to First Fixation_ADS7_ADS7_Mean,Time to First Fixation_ADS7_ADS7_Sum,Time to First Fixation_ADS7_ADS7_N,Time to First Fixation_ADS7_ADS7_Mean,Time to First Fixation_ADS7_ADS7_Sum,Time to First Fixation_ADS8_ADS8_N,Time to First Fixation_ADS8_ADS8_Mean,Time to First Fixation_ADS8_ADS8_Sum,Time to First Fixation_ADS8_ADS8_N,Time to First Fixation_ADS8_ADS8_Mean,Time to First Fixation_ADS8_ADS8_Sum,Time to First Fixation_ADS8_ADS8_N,Time to First Fixation_ADS8_ADS8_Mean,Time to First Fixation_ADS8_ADS8_Sum,Time to First Fixation_ADS8_ADS8_N,Time to First Fixation_ADS8_ADS8_Mean,Time to First Fixation_ADS8_ADS8_Sum,Time to First Fixation_IDS1_IDS1_N,Time to First Fixation_IDS1_IDS1_Mean,Time to First Fixation_IDS1_IDS1_Sum,Time to First Fixation_IDS1_IDS1_N,Time to First Fixation_IDS1_IDS1_Mean,Time to First Fixation_IDS1_IDS1_Sum,Time to First Fixation_IDS1_IDS1_N,Time to First Fixation_IDS1_IDS1_Mean,Time to First Fixation_IDS1_IDS1_Sum,Time to First Fixation_IDS1_IDS1_N,Time to First Fixation_IDS1_IDS1_Mean,Time to First Fixation_IDS1_IDS1_Sum,Time to First Fixation_IDS2_IDS2_N,Time to First Fixation_IDS2_IDS2_Mean,Time to First Fixation_IDS2_IDS2_Sum,Time to First Fixation_IDS2_IDS2_N,Time to First Fixation_IDS2_IDS2_Mean,Time to First Fixation_IDS2_IDS2_Sum,Time to First Fixation_IDS2_IDS2_N,Time to First Fixation_IDS2_IDS2_Mean,Time to First Fixation_IDS2_IDS2_Sum,Time to First Fixation_IDS2_IDS2_N,Time to First Fixation_IDS2_IDS2_Mean,Time to First Fixation_IDS2_IDS2_Sum,Time to First Fixation_IDS3_IDS3_N,Time to First Fixation_IDS3_IDS3_Mean,Time to First Fixation_IDS3_IDS3_Sum,Time to First Fixation_IDS3_IDS3_N,Time to First Fixation_IDS3_IDS3_Mean,Time to First Fixation_IDS3_IDS3_Sum,Time to First Fixation_IDS3_IDS3_N,Time to First Fixation_IDS3_IDS3_Mean,Time to First Fixation_IDS3_IDS3_Sum,Time to First Fixation_IDS3_IDS3_N,Time to First Fixation_IDS3_IDS3_Mean,Time to First Fixation_IDS3_IDS3_Sum,Time to First Fixation_IDS4_IDS4_N,Time to First Fixation_IDS4_IDS4_Mean,Time to First Fixation_IDS4_IDS4_Sum,Time to First Fixation_IDS4_IDS4_N,Time to First Fixation_IDS4_IDS4_Mean,Time to First Fixation_IDS4_IDS4_Sum,Time to First Fixation_IDS4_IDS4_N,Time to First Fixation_IDS4_IDS4_Mean,Time to First Fixation_IDS4_IDS4_Sum,Time to First Fixation_IDS4_IDS4_N,Time to First Fixation_IDS4_IDS4_Mean,Time to First Fixation_IDS4_IDS4_Sum,Time to First Fixation_IDS5_IDS5_N,Time to First Fixation_IDS5_IDS5_Mean,Time to First Fixation_IDS5_IDS5_Sum,Time to First Fixation_IDS5_IDS5_N,Time to First Fixation_IDS5_IDS5_Mean,Time to First Fixation_IDS5_IDS5_Sum,Time to First Fixation_IDS5_IDS5_N,Time to First Fixation_IDS5_IDS5_Mean,Time to First Fixation_IDS5_IDS5_Sum,Time to First Fixation_IDS5_IDS5_N,Time to First Fixation_IDS5_IDS5_Mean,Time to First Fixation_IDS5_IDS5_Sum,Time to First Fixation_IDS6_IDS6_N,Time to First Fixation_IDS6_IDS6_Mean,Time to First Fixation_IDS6_IDS6_Sum,Time to First Fixation_IDS6_IDS6_N,Time to First Fixation_IDS6_IDS6_Mean,Time to First Fixation_IDS6_IDS6_Sum,Time to First Fixation_IDS6_IDS6_N,Time to First Fixation_IDS6_IDS6_Mean,Time to First Fixation_IDS6_IDS6_Sum,Time to First Fixation_IDS6_IDS6_N,Time to First Fixation_IDS6_IDS6_Mean,Time to First Fixation_IDS6_IDS6_Sum,Time to First Fixation_IDS7_IDS7_N,Time to First Fixation_IDS7_IDS7_Mean,Time to First Fixation_IDS7_IDS7_Sum,Time to First Fixation_IDS7_IDS7_N,Time to First Fixation_IDS7_IDS7_Mean,Time to First Fixation_IDS7_IDS7_Sum,Time to First Fixation_IDS7_IDS7_N,Time to First Fixation_IDS7_IDS7_Mean,Time to First Fixation_IDS7_IDS7_Sum,Time to First Fixation_IDS7_IDS7_N,Time to First Fixation_IDS7_IDS7_Mean,Time to First Fixation_IDS7_IDS7_Sum,Time to First Fixation_IDS8_IDS8_N,Time to First Fixation_IDS8_IDS8_Mean,Time to First Fixation_IDS8_IDS8_Sum,Time to First Fixation_IDS8_IDS8_N,Time to First Fixation_IDS8_IDS8_Mean,Time to First Fixation_IDS8_IDS8_Sum,Time to First Fixation_IDS8_IDS8_N,Time to First Fixation_IDS8_IDS8_Mean,Time to First Fixation_IDS8_IDS8_Sum,Time to First Fixation_IDS8_IDS8_N,Time to First Fixation_IDS8_IDS8_Mean,Time to First Fixation_IDS8_IDS8_Sum,Time to First Fixation_train1_train1_N,Time to First Fixation_train1_train1_Mean,Time to First Fixation_train1_train1_Sum,Time to First Fixation_train1_train1_N,Time to First Fixation_train1_train1_Mean,Time to First Fixation_train1_train1_Sum,Time to First Fixation_train1_train1_N,Time to First Fixation_train1_train1_Mean,Time to First Fixation_train1_train1_Sum,Time to First Fixation_train1_train1_N,Time to First Fixation_train1_train1_Mean,Time to First Fixation_train1_train1_Sum,Time to First Fixation_train2_train2_N,Time to First Fixation_train2_train2_Mean,Time to First Fixation_train2_train2_Sum,Time to First Fixation_train2_train2_N,Time to First Fixation_train2_train2_Mean,Time to First Fixation_train2_train2_Sum,Time to First Fixation_train2_train2_N,Time to First Fixation_train2_train2_Mean,Time to First Fixation_train2_train2_Sum,Time to First Fixation_train2_train2_N,Time to First Fixation_train2_train2_Mean,Time to First Fixation_train2_train2_Sum
MB12_S11_44835,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.01,0.01,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.15,0.15,-,-,-,-,-,-,-,-,-,1,0.36,0.36,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.3,0.3,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0
MB12_S12_46672,1,0.14,0.14,-,-,-,-,-,-,-,-,-,1,0.9,0.9,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.84,0.84,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.04,0.04,-,-,-,-,-,-,-,-,-,1,0.06,0.06,-,-,-,-,-,-,-,-,-,1,0.14,0.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2.29,2.29,-,-,-,-,-,-,-,-,-,1,0.17,0.17,-,-,-,-,-,-,-,-,-,1,0.9,0.9,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-
MB12_S13_44777,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.77,0.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.22,0.22,-,-,-,-,-,-,-,-,-,1,1.09,1.09,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.39,0.39,-,-,-,-,-,-
MB12_S14_44845,1,1.95,1.95,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.19,0.19,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,1.02,1.02,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,2.25,2.25,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.25,0.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4.21,4.21,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-
MB12_S15_45540,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,2.24,2.24,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0
MB12_S16_46120,1,1.17,1.17,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.46,0.46,-,-,-,-,-,-,-,-,-,1,1.12,1.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.02,0.02,-,-,-,-,-,-,-,-,-,1,1.08,1.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,1.29,1.29,-,-,-,-,-,-,-,-,-
MB12_S17_47052,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.23,0.23,-,-,-,-,-,-,-,-,-,1,0.2,0.2,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.98,0.98,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.28,0.28,-,-,-,-,-,-,-,-,-,1,0.03,0.03,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-
MB12_S18_45993,-,-,-,-,-,-,1,2.75,2.75,-,-,-,-,-,-,-,-,-,1,0.35,0.35,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.27,0.27,-,-,-,-,-,-,-,-,-,1,1.8,1.8,-,-,-,-,-,-,-,-,-,1,0.37,0.37,-,-,-,-,-,-,-,-,-,1,0.16,0.16,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.39,0.39,-,-,-,-,-,-,-,-,-,1,7.26,7.26,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,4.21,4.21,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,8.44,8.44,-,-,-,-,-,-,-,-,-,1,1.03,1.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-
MB12_S19_44711,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,3.54,3.54,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.04,0.04,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-
MB12_S20_46721,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.29,0.29,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-
MB12_S21_46317,-,-,-,-,-,-,-,-,-,1,0.05,0.05,-,-,-,-,-,-,-,-,-,1,0.42,0.42,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.22,0.22,-,-,-,-,-,-,-,-,-,1,0.56,0.56,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.01,0.01,-,-,-,-,-,-,-,-,-,1,0.03,0.03,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.19,0.19,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0
MB12_S22_46048,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,4.09,4.09,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.95,0.95,-,-,-,-,-,-,-,-,-,1,0.9,0.9,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.13,0.13,-,-,-,-,-,-,-,-,-,1,0.23,0.23,-,-,-,-,-,-
MB12_S23_46701,-,-,-,-,-,-,1,7.87,7.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8.04,8.04,-,-,-,-,-,-,-,-,-,1,0.02,0.02,-,-,-,-,-,-,-,-,-,1,0.3,0.3,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.2,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.21,0.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5.4,5.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,16.34,16.34,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-
MB12_S24_47651,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.12,0.12,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,1.43,1.43,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.38,0.38,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-
MB12_S25_46653,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,6.32,6.32,-,-,-,-,-,-,-,-,-,1,1.01,1.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.5,0.5,-,-,-,-,-,-,-,-,-,1,14.8,14.8,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.61,0.61,-,-,-,-,-,-,-,-,-,1,0.27,0.27,-,-,-,-,-,-,-,-,-,1,0.37,0.37,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-
MB12_S26_48460,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.45,0.45,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.1,0.1,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-
MB12_S27_48417,-,-,-,-,-,-,-,-,-,1,0.15,0.15,-,-,-,-,-,-,-,-,-,1,0.17,0.17,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.32,0.32,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.12,0.12,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.12,0.12,-,-,-,-,-,-,-,-,-,1,0.11,0.11,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0
MB12_S28_48813,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.91,0.91,-,-,-,-,-,-,-,-,-,1,12.38,12.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-
MB12_S29_48421,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.41,0.41,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.11,0.11,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.17,0.17,-,-,-,-,-,-,-,-,-,1,0.33,0.33,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-
MB12_S30_46724,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.03,0.03,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0.38,0.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,-,-,-,-,-,-,-,-,-,1,0,0
